0, 0, 150
0, 0, 100


0, 150.00, 0.00
0, 148.82, 18.80
0, 145.29, 37.30
0, 139.47, 55.22
0, 131.45, 72.26
0, 121.35, 88.17
0, 109.35, 102.68
0, 95.61, 115.58
0, 80.37, 126.65
0, 63.87, 135.72
0, 46.35, 142.66
0, 28.11, 147.34
0, 9.42, 149.70
0, -9.42, 149.70
0, -28.11, 147.34
0, -46.35, 142.66
0, -63.87, 135.72
0, -80.37, 126.65
0, -95.61, 115.58
0, -109.35, 102.68
0, -121.35, 88.17
0, -131.45, 72.26
0, -139.47, 55.22
0, -145.29, 37.30
0, -148.82, 18.80
0, -150.00, 0.00
0, -148.82, -18.80
0, -145.29, -37.30
0, -139.47, -55.22
0, -131.45, -72.26
0, -121.35, -88.17
0, -109.35, -102.68
0, -95.61, -115.58
0, -80.37, -126.65
0, -63.87, -135.72
0, -46.35, -142.66
0, -28.11, -147.34
0, -9.42, -149.70
0, 9.42, -149.70
0, 28.11, -147.34
0, 46.35, -142.66
0, 63.87, -135.72
0, 80.37, -126.65
0, 95.61, -115.58
0, 109.35, -102.68
0, 121.35, -88.17
0, 131.45, -72.26
0, 139.47, -55.22
0, 145.29, -37.30
0, 148.82, -18.80
0, 150.00, 0.00
